k,original,galerkin,wavelet_db32,standard_p4,hybrid_N12_p4_int64
221.0,622.3826911075076,622.3826911075078,563.2818464770494,205.83510934960862,463.66974038357336
222.0,598.6241379155434,598.6241379155435,544.9562749655512,197.07388419060334,438.91207851557147
223.0,587.6169853527603,587.6169853527604,531.6594266431542,193.70585127055082,425.9498072972277
224.0,580.6795208313154,580.6795208313154,524.1788403155964,191.8095168467136,415.72225333304067
225.0,599.1948716846439,599.194871684644,545.8136275903373,197.852721622929,423.197685152112
226.0,595.5924694123942,595.5924694123942,535.3769330726876,193.71107129251715,412.62051438504386
227.0,574.0399430199269,574.0399430199271,518.3242860853056,185.32810159823336,392.20504003653355
228.0,580.0528570358902,580.0528570358903,522.5506843095143,186.80589166479243,389.08379068072907
229.0,580.8088069912359,580.8088069912359,523.9066515705863,186.90061013583906,383.621984808794
230.0,570.1506364451354,570.1506364451354,513.7510728166943,182.83385763455044,370.02710784892804
231.0,571.4758737964573,571.4758737964573,510.4218688490341,180.93430656166203,364.1981620549097
232.0,564.2480250297299,564.2480250297299,504.9787173916648,177.06641681866685,352.2744723401306
233.0,568.1683931184997,568.1683931184999,506.74971102086465,178.8841148868978,348.0093054288453
234.0,554.7035761446327,554.7035761446327,494.5240783479515,173.7467532833254,333.74168384152375
235.0,546.3609199400214,546.3609199400215,484.6339038583413,169.47708760810036,321.9004227208295
236.0,547.7524865852105,547.7524865852106,485.11072135856193,169.71521305967963,316.7179705032307
237.0,549.9415730358667,549.9415730358669,487.4156068360229,167.91141414601978,309.61271710718177
238.0,551.3519997172707,551.3519997172707,485.7447627663263,169.84087739832833,307.08534776160354
239.0,541.7917108321762,541.7917108321764,476.402171735218,164.59388035800941,291.85535410842544
240.0,531.5852322084774,531.5852322084774,465.58940761853324,160.70375187978502,280.7385761888809
241.0,536.344846062256,536.3448460622561,468.34191661762486,162.77335021053312,278.20964419155143
242.0,526.0912876622617,526.091287662262,457.69141023199955,159.3008551623492,266.9687858664457
243.0,529.3326188537923,529.3326188537923,459.4752245242618,159.57198619839667,262.3367537556694
244.0,532.7184173534812,532.7184173534812,461.3686410024352,160.22575433089207,258.01245467561364
245.0,522.7539296057888,522.7539296057889,450.9081481125327,155.74235732060063,244.71726867067105
246.0,531.3291511874081,531.3291511874081,456.8129363711358,156.45619534721928,244.2764105729263
247.0,504.71699656857214,504.7169965685722,431.83288036427655,150.39376482582176,228.1670466621745
248.0,514.9175502988893,514.9175502988894,440.12612446514936,152.1380724162208,226.2568158315963
249.0,503.46515090835754,503.46515090835766,425.3795404370259,146.2217088623485,216.37758104683493
250.0,519.5120151475373,519.5120151475375,439.25565548350636,151.4781069795375,216.28103774286913
251.0,503.1504845576955,503.15048455769573,422.32682358518315,145.9762387823407,204.33495309021043
252.0,503.2860140515177,503.2860140515178,421.12733384989906,146.37892506899564,199.517813489447
253.0,493.23334552288543,493.2333455228856,412.347944690768,143.21782493646595,191.21606354155185
254.0,498.9453466406144,498.94534664061445,414.53497292208453,143.2778442603267,188.0387670779319
255.0,505.6926611429166,505.6926611429167,418.59750843590683,143.06951444774327,185.62289036228023
256.0,490.52928865123283,490.529288651233,404.6974793052852,140.01135963037453,175.63094105942076
257.0,492.8095319792862,492.8095319792864,403.02396396087454,139.92829530756805,171.4516959847189
258.0,481.73936638118715,481.73936638118715,389.71443168106305,136.40692347025856,164.6003660449243
259.0,482.3772350059733,482.3772350059735,389.9679504228002,136.01979357250306,160.58951616827252
260.0,488.3831890186809,488.383189018681,393.81755485591066,137.0574786725969,157.15683175447361
261.0,467.10490699057794,467.1049069905781,374.753001988736,129.54531073359107,146.40643246714097
262.0,487.13835383721903,487.1383538372191,388.11182592771166,135.67648862378314,150.17177265614336
263.0,474.3487677607126,474.34876776071263,375.427241557946,130.54794301209873,141.0549637825903
264.0,471.16038952698904,471.16038952698915,373.29298851577204,130.75640108351976,136.9940200875745
265.0,463.77305969776745,33.65963760547143,364.92965222828565,125.80983165788021,131.01455201822276
266.0,456.07607039542074,5.154795492517536e-28,354.42451788445857,123.77493088517882,124.64832606426062
267.0,478.93380294861146,6.596883977353766e-28,374.8985325618905,129.5820630366259,128.25036647065608
268.0,465.0318083019423,3.7744184982022468e-28,360.27234931036173,125.27091537866261,121.1906395696494
269.0,458.749294715565,3.5752513618207217e-28,354.0071283371198,124.66618745944648,117.47211930999397
270.0,455.46790916033075,2.987905253750038e-28,348.0757656667604,122.33363354394551,112.96060129383642
271.0,444.29047965431266,4.312320746453102e-28,338.95337715269955,119.45433873689898,106.98953345004774
272.0,458.0390935723909,2.7255823433617258e-28,348.76237544848476,121.12880797268086,107.56841752119227
273.0,441.46994134146036,2.961010595767889e-28,331.9699627893902,116.68283136617167,100.81680474985191
274.0,453.71827791264076,2.784390941326066e-28,340.7107415579387,118.55564059882562,100.69993701213998
275.0,445.01542897717707,2.518297332856518e-28,334.43632824299243,117.45634479444186,97.12187409908275
276.0,442.51457041551987,2.568786812600854e-28,329.8685756820158,115.15557149417613,93.99761387776049
277.0,447.59258354164126,2.4624385688391427e-28,333.41661865481285,116.94716253118959,92.93369358713817
278.0,432.95148249609474,3.0887142388535566e-28,317.1254824344714,111.83565166199038,86.83719389433571
279.0,431.4198650569248,2.809001935648831e-28,316.186785411089,110.61672073837455,85.269777226943
280.0,449.206042335796,2.067216281709797e-28,328.57551461840814,115.71377193993452,87.09560708646022
281.0,429.55437597665076,2.6137020984193956e-28,313.3097570305601,109.83959812755485,81.72213296862972
282.0,431.61956760663844,2.4876440937760105e-28,314.36362987978805,109.46807784733147,79.8221462694013
283.0,414.6461328658833,2.525974713379674e-28,300.5230623753905,105.06870304010894,75.57303555911396
284.0,432.9079049895203,2.2866186200633813e-28,312.14476181041715,109.51625528334907,77.64700881334882
285.0,422.89332478887474,3.212910522014525e-28,302.4220444190446,106.16825190388963,74.0419506183217
286.0,416.2626916341607,2.9890152556933855e-28,297.16257677465956,104.5678220672182,70.91704819887434
287.0,423.1174730291208,3.0844200429587046e-28,300.42746376543255,105.53022573932992,71.23611709157197
288.0,420.9355741450705,1.9132751657820593e-28,298.28481358353577,105.03277830675788,70.08326910009728
289.0,425.31953274431794,3.1182292251546327e-28,301.57016564166474,104.80064467329188,69.07217045011411
290.0,407.2239912402501,2.8716900032337123e-28,286.1110963067267,100.09780934747214,64.82534307269908
291.0,412.4670532687175,2.901991914860684e-28,291.0056392706941,101.70374806622569,64.64871234708833
292.0,412.81466258288003,2.1937952101360753e-28,288.2130134279677,101.00978064146656,63.72050357696396
293.0,413.069511747099,2.1894505092389957e-28,289.15610907944904,101.17677747906271,62.63428785673704
294.0,407.3639514120561,2.1184416806825285e-28,284.54232581264927,98.80473192234511,60.779949753139725
295.0,396.65815439917014,2.1632617269846564e-28,274.5563621971104,95.52291256012592,58.153230084213256
296.0,399.7935330663892,1.535523109137987e-28,277.2823545480555,96.03530987958956,57.496257077680454
297.0,401.65288461494526,2.0908772332247003e-28,277.01855684018227,96.85110126328273,57.43577934085697
298.0,403.63106531080854,1.863212138263824e-28,278.96186704517334,96.66813231939048,56.785366008071406
299.0,394.6706376969596,1.9592404385147897e-28,271.5817883658719,94.19374218364266,54.45799650468436
300.0,388.2819704598455,1.8255753663354462e-28,265.68534161806315,92.03900191343419,53.43294928429925
301.0,409.29665208317533,2.0929895167563804e-28,281.1979348205881,96.0903837536711,55.295985660952226
302.0,388.76502751957946,2.162863571852791e-28,264.4155934389315,91.16908712581855,52.05836786354187
303.0,395.83963590163586,2.294960407145833e-28,272.29899854071397,92.44401603282579,52.29259849804885
304.0,374.6543766472769,1.5326539307525986e-28,255.13079623278875,87.52149696322384,49.26143897856274
305.0,401.62409444432114,2.65533510344456e-28,272.6744068967805,93.00051346032262,51.928676547894504
