BD,avg_cr,original_r2,original_r4,original_r8,galerkin_r2,galerkin_r4,galerkin_r8,wavelet_db32_r2,wavelet_db32_r4,wavelet_db32_r8,standard_p4_r2,standard_p4_r4,standard_p4_r8,hybrid_N12_p4_int64_r2,hybrid_N12_p4_int64_r4,hybrid_N12_p4_int64_r8
50,0.00399017333984375,17.6749324798584,15.316032409667969,11.79054069519043,8.516368865966797,8.525810241699219,8.55797004699707,27.96381187438965,21.43370819091797,15.375044822692871,66.95022583007812,32.42940139770508,20.019550323486328,52.25082778930664,19.23562240600586,10.49482250213623
75,0.008173942565917969,17.6749324798584,15.316032409667969,11.79054069519043,9.632397651672363,9.655410766601562,9.726616859436035,28.99936294555664,21.551429748535156,15.286874771118164,45.459285736083984,29.247709274291992,19.650022506713867,26.431209564208984,13.521307945251465,10.680903434753418
100,0.013109207153320312,17.6749324798584,15.316032409667969,11.79054069519043,10.379936218261719,10.421772003173828,10.532492637634277,27.55544662475586,20.89113426208496,14.839925765991211,38.86668014526367,28.11247444152832,19.368995666503906,18.093366622924805,12.662221908569336,11.488015174865723
200,0.04477119445800781,17.6749324798584,15.316032409667969,11.79054069519043,12.479190826416016,12.646649360656738,12.481738090515137,21.887882232666016,18.099369049072266,13.152493476867676,28.588659286499023,22.869478225708008,16.26487159729004,16.712509155273438,15.221691131591797,13.182721138000488
500,0.18857765197753906,17.6749324798584,15.316032409667969,11.79054069519043,15.77705192565918,15.436506271362305,11.971528053283691,18.72164535522461,15.721966743469238,12.000489234924316,21.577770233154297,18.087677001953125,13.262532234191895,18.52147102355957,16.194406509399414,12.366811752319336
